P M PRE,POST
1 0   19 18 ,
2 17 , 19 1
3 0   12 11 9 8 , 21 22
4 3  20 21 , 21 22
5 0   5 3 , 5 4
6 1   4 27 45 33 39 51 57 63 69 75 , 3 15 31 38 44 50 56 62 68 74
7 0   76 78 , 14 13 10 6
8 0   19 1 , 12 11 7 2
9 1   23 28 31 34 38 41 44 10 46 6 3 15 50 53 56 59 62 65 68 71 74 77 , 17 16 4 24 27 30 33 36 39 42 45 48 51 54 57 60 63 66 69 72 75 78
10 0  13 6 , 11 8
11 0  14 10 , 12 9
12 1  11 8 , 13 6
13 1  12 9 , 14 10
14 1  22 18 7 2 , 20 9 8 1
15 1  16 8 , 6 2
16 1  17 9 , 10 7
17 0  5 4 , 23 25
18 0  11 2 , 16 13
19 0  24 25 , 15 26
20 0  12 7 , 17 14
21 1  16 13 , 11 2
22 1  17 14 , 12 7
23 0  17 16 14 13 , 5 3
24 0  21 20 , 19 18
25 0  22 21 , 21 20
26 1  24 30 36 42 48 54 60 66 72 78 , 23 28 34 41 46 53 59 65 71 77
27 0  23 25 , 24 25
28 0  15 26 , 26 27
29 0  27 26 , 28 29
30 0  28 29 , 30 29
31 0  30 29 , 31 32
32 0  31 32 , 32 33
33 0  33 32 , 34 35
34 0  34 35 , 36 35
35 0  35 36 , 37 38
36 0  37 38 , 39 37
37 0  37 39 , 40 41
38 0  40 41 , 40 42
39 0  40 42 , 43 44
40 0  43 44 , 43 45
41 0  43 45 , 46 47
42 0  46 47 , 47 48
43 0  47 48 , 49 50
44 0  49 50 , 49 51
45 0  49 51 , 52 53
46 0  52 53 , 52 54
47 0  52 54 , 55 56
48 0  55 56 , 55 57
49 0  55 57 , 58 59
50 0  58 59 , 58 60
51 0  58 60 , 61 62
52 0  61 62 , 61 63
53 0  61 63 , 64 65
54 0  64 65 , 64 66
55 0  64 66 , 67 68
56 0  67 68 , 67 69
57 0  67 69 , 70 71
58 0  70 71 , 70 72
59 0  70 72 , 73 74
60 0  73 74 , 73 75
61 0  73 75 , 76 77
62 0  76 77 , 76 78
@

ptime: 3-10 5-880 7-10 8-15 9-5 10-295 11-215 12-145 13-160 14-10 17-5 18-185 19-5 20-160 21-240 22-295 23-10 24-15 25-720 27-820 28-800 29-10 30-1045 31-5 32-1175 33-15 34-330 35-15 36-630 37-10 38-725 39-10 40-605 41-10 42-580 43-15 45-5 47-10 49-10 51-5 53-10 44-550 48-800 52-800 46-800 50-580 54-695 55-15 57-10 59-10 61-10 56-800 60-800 58-580 62-545

ttime: 1-27 2-20 3-20 4-12 5-50 6-20 7-20 8-20 9-27 10-11 11-21 12-40 13-48 14-24 15-20 16-10 17-19 18-29 19-36 20-25 21-40 22-22 23-20 24-11 25-38 26-40 27-17 28-20 29-40 30-24 31-27 32-39 33-22 34-30 35-34 36-15 37-51 38-15 39-16 40-40 41-22 42-30 43-31 44-18 45-20 46-20 47-43 48-20 51-17 54-18 57-22 60-20 63-20 66-20 50-25 53-18 56-20 59-20 62-26 65-16 49-40 52-52 55-37 58-40 61-37 64-40 69-20 72-13 75-14 78-20 68-21 71-24 74-20 77-11 67-40 70-40 73-40 76-40

goalPlace:1-17

residenceTime: 5-800 27-900 28-500 30-800 32-500 34-700 36-800 38-800 40-1000 42-700 44-500 48-700 52-600 46-800 50-800 54-500 56-800 60-800 58-800 62-800 17-300 19-400 29-500 31-400 33-400 35-500 37-400 39-300 41-500 43-500 45-400 47-400 49-500 51-400 53-500 55-400 57-300 59-400 61-400
