P M PRE,POST
1 0   19 18 ,
2 4 , 19 1
3 0   12 11 9 8 , 18 19
5 0   5 3 , 5 4
6 1   4 27 45 33 39 51 57 63 , 3 15 31 38 44 50 56 62
7 0   64 66 , 14 13 10 6
8 0   19 1 , 12 11 7 2
9 1   23 28 31 34 38 41 44 10 46 6 3 15 50 53 56 59 62 65 , 17 16 4 24 27 30 33 36 39 42 45 48 51 54 57 60 63 66
10 0  13 6 , 11 8
11 0  14 10 , 12 9
12 1  11 8 , 13 6
13 1  12 9 , 14 10
14 1  18 7 2 , 9 8 1
15 1  16 8 , 6 2
16 1  17 9 , 10 7
17 0  5 4 , 23 25
18 0  11 2 , 16 13
19 0  24 25 , 15 26
20 0  12 7 , 17 14
21 1  16 13 , 11 2
22 1  17 14 , 12 7
23 0  17 16 14 13 , 5 3
26 1  24 30 36 42 48 54 60 66 , 23 28 34 41 46 53 59 65
27 0  23 25 , 24 25
28 0  15 26 , 26 27
29 0  27 26 , 28 29
30 0  28 29 , 30 29
31 0  30 29 , 31 32
32 0  31 32 , 32 33
33 0  33 32 , 34 35
34 0  34 35 , 36 35
35 0  35 36 , 37 38
36 0  37 38 , 39 37
37 0  37 39 , 40 41
38 0  40 41 , 40 42
39 0  40 42 , 43 44
40 0  43 44 , 43 45
41 0  43 45 , 46 47
42 0  46 47 , 47 48
43 0  47 48 , 49 50
44 0  49 50 , 49 51
45 0  49 51 , 52 53
46 0  52 53 , 52 54
47 0  52 54 , 55 56
48 0  55 56 , 55 57
49 0  55 57 , 58 59
50 0  58 59 , 58 60
51 0  58 60 , 61 62
52 0  61 62 , 61 63
53 0  61 63 , 64 65
54 0  64 65 , 64 66
@

ptime: 3-20 5-1375 7-20 8-15 9-25 10-120 11-70 12-395 13-295 14-15 17-35 18-140 19-20 20-270 21-120 22-120 23-30 27-2040 28-1570 29-30 30-2735 31-25 32-1235 33-30 34-2040 35-15 36-780 37-25 38-2765 39-20 40-1120 41-35 42-2040 43-35 45-25 47-25 49-30 51-25 53-25 44-1440 48-885 52-1395 46-1380 50-2040 54-2040

ttime: 1-45 2-45 3-89 4-86 5-175 6-65 7-41 8-60 9-45 10-120 11-100 12-85 13-131 14-175 15-66 16-86 17-94 18-29 19-90 23-53 24-81 25-113 26-175 27-86 28-58 29-92 30-61 31-86 32-175 33-86 34-123 35-194 36-114 37-260 38-98 39-89 40-190 41-107 42-92 43-175 44-55 45-103 46-43 47-175 48-86 51-86 54-86 57-75 60-82 63-68 66-86 50-94 53-86 56-94 59-122 62-86 65-86 49-261 52-98 55-106 58-175 61-175 64-240

goalPlace:1-4

residenceTime: 5-1000 27-1500 28-1400 30-1000 32-1000 34-1200 36-1000 38-900 40-1200 42-1400 44-1000 48-1400 52-1000 46-900 50-700 54-1000 17-600 19-400 29-600 31-600 33-800 35-600 37-600 39-500 41-600 43-400 45-600 47-700 49-500 51-300 53-900
