P M PRE,POST
1 0   19 18 ,
2 4 , 19 1
3 0   12 11 9 8 , 21 22
4 3  20 21 , 21 22
5 0   5 3 , 5 4
6 1   4 27 45 33 39 51 57 63 69 75 , 3 15 31 38 44 50 56 62 68 74
7 0   76 78 , 14 13 10 6
8 0   19 1 , 12 11 7 2
9 1   23 28 31 34 38 41 44 10 46 6 3 15 50 53 56 59 62 65 68 71 74 77 , 17 16 4 24 27 30 33 36 39 42 45 48 51 54 57 60 63 66 69 72 75 78
10 0  13 6 , 11 8
11 0  14 10 , 12 9
12 1  11 8 , 13 6
13 1  12 9 , 14 10
14 1  22 18 7 2 , 20 9 8 1
15 1  16 8 , 6 2
16 1  17 9 , 10 7
17 0  5 4 , 23 25
18 0  11 2 , 16 13
19 0  24 25 , 15 26
20 0  12 7 , 17 14
21 1  16 13 , 11 2
22 1  17 14 , 12 7
23 0  17 16 14 13 , 5 3
24 0  21 20 , 19 18
25 0  22 21 , 21 20
26 1  24 30 36 42 48 54 60 66 72 78 , 23 28 34 41 46 53 59 65 71 77
27 0  23 25 , 24 25
28 0  15 26 , 26 27
29 0  27 26 , 28 29
30 0  28 29 , 30 29
31 0  30 29 , 31 32
32 0  31 32 , 32 33
33 0  33 32 , 34 35
34 0  34 35 , 36 35
35 0  35 36 , 37 38
36 0  37 38 , 39 37
37 0  37 39 , 40 41
38 0  40 41 , 40 42
39 0  40 42 , 43 44
40 0  43 44 , 43 45
41 0  43 45 , 46 47
42 0  46 47 , 47 48
43 0  47 48 , 49 50
44 0  49 50 , 49 51
45 0  49 51 , 52 53
46 0  52 53 , 52 54
47 0  52 54 , 55 56
48 0  55 56 , 55 57
49 0  55 57 , 58 59
50 0  58 59 , 58 60
51 0  58 60 , 61 62
52 0  61 62 , 61 63
53 0  61 63 , 64 65
54 0  64 65 , 64 66
55 0  64 66 , 67 68
56 0  67 68 , 67 69
57 0  67 69 , 70 71
58 0  70 71 , 70 72
59 0  70 72 , 73 74
60 0  73 74 , 73 75
61 0  73 75 , 76 77
62 0  76 77 , 76 78
@

ptime: 3-10 5-895 7-5 8-10 9-10 10-240 11-240 12-230 13-135 14-10 17-10 18-160 19-5 20-175 21-250 22-240 23-10 24-15 25-535 27-390 28-865 29-15 30-800 31-15 32-1020 33-10 34-805 35-10 36-800 37-10 38-610 39-10 40-405 41-10 42-580 43-10 45-10 47-5 49-10 51-15 53-15 44-800 48-910 52-740 46-800 50-580 54-305 55-15 57-10 59-10 61-10 56-775 60-745 58-580 62-580

ttime: 1-16 2-20 3-15 4-13 5-44 6-17 7-18 8-19 9-21 10-13 11-40 12-59 13-40 14-32 15-29 16-22 17-30 18-19 19-46 20-23 21-40 22-11 23-12 24-20 25-31 26-40 27-20 28-19 29-55 30-20 31-15 32-27 33-20 34-20 35-48 36-20 37-40 38-30 39-27 40-58 41-20 42-20 43-40 44-13 45-20 46-20 47-44 48-20 51-16 54-17 57-26 60-23 63-20 66-26 50-19 53-30 56-30 59-28 62-20 65-23 49-40 52-40 55-40 58-47 61-56 64-40 69-11 72-20 75-20 78-18 68-20 71-20 74-20 77-20 67-40 70-31 73-49 76-38

goalPlace:1-4

residenceTime: 5-800 27-800 28-800 30-700 32-1100 34-800 36-800 38-600 40-1100 42-800 44-1000 48-1200 52-500 46-800 50-400 54-700 56-800 60-800 58-900 62-800 17-400 19-500 29-600 31-400 33-400 35-400 37-400 39-400 41-500 43-400 45-400 47-400 49-400 51-300 53-300 55-500 57-500 59-400 61-600
