P M PRE,POST
1 0   19 18 ,
2 16 , 19 1
3 0   12 11 9 8 , 18 19
5 0   5 3 , 5 4
6 1   4 27 45 33 39 51 57 63 , 3 15 31 38 44 50 56 62
7 0   64 66 , 14 13 10 6
8 0   19 1 , 12 11 7 2
9 1   23 28 31 34 38 41 44 10 46 6 3 15 50 53 56 59 62 65 , 17 16 4 24 27 30 33 36 39 42 45 48 51 54 57 60 63 66
10 0  13 6 , 11 8
11 0  14 10 , 12 9
12 1  11 8 , 13 6
13 1  12 9 , 14 10
14 1  18 7 2 , 9 8 1
15 1  16 8 , 6 2
16 1  17 9 , 10 7
17 0  5 4 , 23 25
18 0  11 2 , 16 13
19 0  24 25 , 15 26
20 0  12 7 , 17 14
21 1  16 13 , 11 2
22 1  17 14 , 12 7
23 0  17 16 14 13 , 5 3
26 1  24 30 36 42 48 54 60 66 , 23 28 34 41 46 53 59 65
27 0  23 25 , 24 25
28 0  15 26 , 26 27
29 0  27 26 , 28 29
30 0  28 29 , 30 29
31 0  30 29 , 31 32
32 0  31 32 , 32 33
33 0  33 32 , 34 35
34 0  34 35 , 36 35
35 0  35 36 , 37 38
36 0  37 38 , 39 37
37 0  37 39 , 40 41
38 0  40 41 , 40 42
39 0  40 42 , 43 44
40 0  43 44 , 43 45
41 0  43 45 , 46 47
42 0  46 47 , 47 48
43 0  47 48 , 49 50
44 0  49 50 , 49 51
45 0  49 51 , 52 53
46 0  52 53 , 52 54
47 0  52 54 , 55 56
48 0  55 56 , 55 57
49 0  55 57 , 58 59
50 0  58 59 , 58 60
51 0  58 60 , 61 62
52 0  61 62 , 61 63
53 0  61 63 , 64 65
54 0  64 65 , 64 66
@

ptime: 3-15 5-1440 7-25 8-15 9-20 10-85 11-120 12-205 13-270 14-15 17-25 18-270 19-35 20-205 21-95 22-85 23-15 27-2790 28-1660 29-25 30-2040 31-35 32-1440 33-25 34-1255 35-20 36-1440 37-25 38-1325 39-30 40-945 41-25 42-1145 43-25 45-25 47-20 49-25 51-25 53-25 44-2115 48-785 52-1550 46-2285 50-2010 54-1315

ttime: 1-66 2-57 3-126 4-86 5-175 6-86 7-37 8-45 9-59 10-86 11-100 12-65 13-171 14-94 15-89 16-86 17-113 18-28 19-90 23-54 24-86 25-223 26-175 27-86 28-86 29-175 30-88 31-129 32-200 33-120 34-74 35-221 36-86 37-209 38-86 39-61 40-254 41-82 42-52 43-175 44-86 45-86 46-55 47-175 48-70 51-102 54-86 57-129 60-86 63-86 66-105 50-66 53-86 56-95 59-126 62-86 65-87 49-207 52-171 55-175 58-227 61-111 64-251

goalPlace:1-16

residenceTime: 5-1000 27-1000 28-600 30-1100 32-1500 34-1300 36-800 38-800 40-1100 42-1000 44-800 48-1400 52-1000 46-1000 50-1000 54-1000 17-900 19-500 29-600 31-700 33-800 35-600 37-800 39-600 41-700 43-600 45-600 47-600 49-600 51-600 53-500
