P M PRE,POST
1 0   19 18 ,
2 9 , 19 1
3 0   12 11 9 8 , 18 19
5 0   5 3 , 5 4
6 1   4 27 45 33 39 51 57 63 , 3 15 31 38 44 50 56 62
7 0   64 66 , 14 13 10 6
8 0   19 1 , 12 11 7 2
9 1   23 28 31 34 38 41 44 10 46 6 3 15 50 53 56 59 62 65 , 17 16 4 24 27 30 33 36 39 42 45 48 51 54 57 60 63 66
10 0  13 6 , 11 8
11 0  14 10 , 12 9
12 1  11 8 , 13 6
13 1  12 9 , 14 10
14 1  18 7 2 , 9 8 1
15 1  16 8 , 6 2
16 1  17 9 , 10 7
17 0  5 4 , 23 25
18 0  11 2 , 16 13
19 0  24 25 , 15 26
20 0  12 7 , 17 14
21 1  16 13 , 11 2
22 1  17 14 , 12 7
23 0  17 16 14 13 , 5 3
26 1  24 30 36 42 48 54 60 66 , 23 28 34 41 46 53 59 65
27 0  23 25 , 24 25
28 0  15 26 , 26 27
29 0  27 26 , 28 29
30 0  28 29 , 30 29
31 0  30 29 , 31 32
32 0  31 32 , 32 33
33 0  33 32 , 34 35
34 0  34 35 , 36 35
35 0  35 36 , 37 38
36 0  37 38 , 39 37
37 0  37 39 , 40 41
38 0  40 41 , 40 42
39 0  40 42 , 43 44
40 0  43 44 , 43 45
41 0  43 45 , 46 47
42 0  46 47 , 47 48
43 0  47 48 , 49 50
44 0  49 50 , 49 51
45 0  49 51 , 52 53
46 0  52 53 , 52 54
47 0  52 54 , 55 56
48 0  55 56 , 55 57
49 0  55 57 , 58 59
50 0  58 59 , 58 60
51 0  58 60 , 61 62
52 0  61 62 , 61 63
53 0  61 63 , 64 65
54 0  64 65 , 64 66
@

ptime: 3-10 5-1440 7-25 8-15 9-20 10-145 11-180 12-270 13-340 14-20 17-35 18-235 19-25 20-270 21-150 22-120 23-25 27-2040 28-1440 29-20 30-2040 31-20 32-1440 33-20 34-2040 35-35 36-1210 37-35 38-2040 39-30 40-2055 41-25 42-2610 43-35 45-20 47-35 49-15 51-35 53-25 44-1010 48-1930 52-1440 46-2040 50-2040 54-2040

ttime: 1-45 2-45 3-104 4-86 5-175 6-86 7-59 8-45 9-44 10-89 11-100 12-85 13-153 14-175 15-54 16-71 17-87 18-24 19-90 23-109 24-113 25-135 26-175 27-86 28-86 29-175 30-98 31-109 32-175 33-84 34-86 35-196 36-104 37-175 38-94 39-86 40-172 41-100 42-111 43-175 44-100 45-81 46-86 47-122 48-100 51-86 54-62 57-83 60-86 63-83 66-126 50-86 53-121 56-92 59-66 62-91 65-86 49-175 52-95 55-223 58-236 61-175 64-226

goalPlace:1-9

residenceTime: 5-1000 27-700 28-600 30-1000 32-1000 34-1400 36-600 38-900 40-1000 42-1000 44-1000 48-1000 52-1000 46-1000 50-900 54-700 17-300 19-500 29-500 31-600 33-700 35-700 37-600 39-900 41-600 43-700 45-800 47-400 49-600 51-400 53-600
